"t DHB"
"-17 Southern"
"-17 Southern"
"-17 Southern"
"-17 Southern"
"-17 Southern"
"-17 Southern"
"-17 Southern"
"-17 Southern"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waikato"
"-17 Waitemata"
"-17 Waitemata"
"-17 Waitemata"
"-17 Waitemata"
"-17 Waitemata"
"-17 Waitemata"
"-17 Waitemata"
"-17 Waitemata"
"-17 Waitemata"
"-17 Waitemata"
"-17 Waitemata"
"-17 Waitemata"
"-17 Waitemata"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Auckland"
"-18 Bay.of.Plenty"
"-18 Bay.of.Plenty"
"-18 Canterbury"
"-18 Canterbury"
"-18 Canterbury"
"-18 Canterbury"
"-18 Capital.and.Coast"
"-18 Capital.and.Coast"
"-18 Capital.and.Coast"
"-18 Capital.and.Coast"
"-18 Capital.and.Coast"
"-18 Counties.Manukau"
"-18 Counties.Manukau"
"-18 Counties.Manukau"
"-18 Counties.Manukau"
"-18 Counties.Manukau"
"-18 Hawkes.Bay"
"-18 Lakes"
"-18 Nelson.Marlborough"
"-18 South.Canterbury"
"-18 Southern"
"-18 Southern"
"-18 Southern"
"-18 Southern"
"-18 Southern"
"-18 Southern"
"-18 Southern"
"-18 Southern"
"-18 Southern"
"-18 Southern"
"-18 Southern"
"-18 Southern"
"-18 Southern"
"-18 Waikato"
"-18 Waikato"
"-18 Waikato"
"-18 Waitemata"
"-18 Waitemata"
"-18 Waitemata"
"-18 Waitemata"
"-18 Waitemata"
"-18 Waitemata"
"-18 Waitemata"
"-18 Waitemata"
"-18 Waitemata"
"-18 Waitemata"
"-18 Waitemata"
"-18 Waitemata"
"-18 Waitemata"
"-19 Auckland"
"-19 Auckland"
"-19 Auckland"
"-19 Auckland"
"-19 Auckland"
"-19 Auckland"
"-19 Auckland"
"-19 Bay.of.Plenty"
"-19 Bay.of.Plenty"
"-19 Bay.of.Plenty"
"-19 Canterbury"
"-19 Canterbury"
"-19 Canterbury"
"-19 Capital.and.Coast"
"-19 Capital.and.Coast"
"-19 Capital.and.Coast"
"-19 Counties.Manukau"
"-19 Counties.Manukau"
"-19 Counties.Manukau"
"-19 Counties.Manukau"
"-19 Hawkes.Bay"
"-19 Hutt.Valley"
"-19 Hutt.Valley"
"-19 Hutt.Valley"
"-19 MidCentral"
"-19 MidCentral"
"-19 South.Canterbury"
"-19 South.Canterbury"
"-19 South.Canterbury"
"-19 South.Canterbury"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Southern"
"-19 Tairawhiti"
"-19 Taranaki"
"-19 Taranaki"
"-19 Taranaki"
"-19 Taranaki"
"-19 Waikato"
"-19 Waikato"
"-19 Waikato"
"-19 Waikato"
"-19 Waikato"
"-19 Waikato"
"-19 Waikato"
"-19 Waikato"
"-19 Waikato"
"-19 Waikato"
"-19 Waikato"
"-19 Waitemata"
"-19 Waitemata"
"-19 Whanganui"
"-19 Whanganui"
"-19 Whanganui"
"-20 Auckland"
"-20 Auckland"
"-20 Auckland"
"-20 Auckland"
"-20 Auckland"
"-20 Auckland"
"-20 Auckland"
"-20 Auckland"
"-20 Auckland"
"-20 Auckland"
"-20 Auckland"
"-20 Bay.of.Plenty"
"-20 Bay.of.Plenty"
"-20 Canterbury"
"-20 Canterbury"
"-20 Canterbury"
"-20 Canterbury"
"-20 Canterbury"
"-20 Canterbury"
"-20 Canterbury"
"-20 Canterbury"
"-20 Canterbury"
"-20 Capital.and.Coast"
"-20 Capital.and.Coast"
"-20 Counties.Manukau"
"-20 Counties.Manukau"
"-20 Counties.Manukau"
"-20 Hawkes.Bay"
"-20 Hawkes.Bay"
"-20 Hawkes.Bay"
"-20 Hawkes.Bay"
"-20 Hutt.Valley"
"-20 Hutt.Valley"
"-20 Hutt.Valley"
"-20 Hutt.Valley"
"-20 Lakes"
"-20 Northland"
"-20 Southern"
"-20 Southern"
"-20 Southern"
"-20 Southern"
"-20 Southern"
"-20 Southern"
"-20 Southern"
"-20 Tairawhiti"
"-20 Taranaki"
"-20 Taranaki"
"-20 Waikato"
"-20 Waikato"
"-20 Waikato"
"-20 Waikato"
"-20 Waikato"
"-20 Waikato"
"-20 Waikato"
"-20 Waikato"
"-20 Waikato"
"-20 Waikato"
"-20 Waikato"
"-20 Waitemata"
"-20 Waitemata"
"-20 Waitemata"
"-20 Waitemata"
"-20 Waitemata"
"-20 Waitemata"
"-20 Waitemata"
"-20 Waitemata"
"-20 West.Coast"
"-20 West.Coast"
"-21 Auckland"
"-21 Auckland"
"-21 Auckland"
"-21 Auckland"
"-21 Auckland"
"-21 Auckland"
"-21 Auckland"
"-21 Auckland"
"-21 Auckland"
"-21 Auckland"
"-21 Auckland"
"-21 Bay.of.Plenty"
"-21 Bay.of.Plenty"
"-21 Canterbury"
"-21 Canterbury"
"-21 Canterbury"
"-21 Canterbury"
"-21 Capital.and.Coast"
"-21 Capital.and.Coast"
"-21 Capital.and.Coast"
"-21 Capital.and.Coast"
"-21 Counties.Manukau"
