ticks,who,pop-0,susceptible,exposed,presymptomatic,infected,recovered,dead,tests,tests-positive,new-exposed,new-presymptomatic,new-infected,new-recovered,new-dead,alert-level
38,19,118230,118098,2,1,16,113,0,2671,305,0,1,2,1,0,4
38,8,395560,395172,8,3,46,331,3,8589,800,2,3,6,8,0,4
38,5,258863,258578,8,4,33,240,1,5720,601,4,4,2,6,0,4
38,4,200455,200242,7,0,26,180,2,4445,458,0,0,4,5,0,4
39,0,157191,156999,9,2,26,155,2,3583,436,0,2,0,2,0,4
39,13,205908,205670,9,4,26,199,1,4556,488,1,4,2,1,0,4
39,15,389208,388790,9,5,54,350,4,8738,869,4,5,6,4,0,4
39,7,245147,244893,8,1,34,211,1,5518,525,2,1,0,2,0,4
39,11,128455,128341,6,1,11,96,1,2842,226,2,1,0,0,0,4
39,12,263922,263673,8,3,24,214,4,5764,529,2,3,2,4,0,4
39,14,52822,52786,1,0,3,32,1,1125,81,1,0,0,0,0,4
39,1,450518,450121,9,2,36,350,9,10058,923,2,2,2,4,0,4
39,8,395560,395169,7,4,46,334,3,8774,813,3,4,3,3,0,4
39,4,200455,200241,8,0,22,184,2,4525,462,1,0,0,4,0,4
39,10,159277,159090,8,1,31,147,1,3583,428,4,1,0,7,0,4
39,18,268523,268267,14,0,35,207,3,5967,486,3,0,6,2,0,4
39,16,156009,155879,2,0,10,118,2,3383,294,0,0,2,1,0,4
39,2,264625,264337,6,4,37,241,1,5943,606,0,4,9,4,0,4
39,9,180080,179944,5,0,9,122,1,3792,260,0,0,1,1,0,4
39,5,258863,258575,11,0,35,242,1,5871,607,3,0,4,2,0,4
39,17,264300,264021,11,6,38,224,1,5855,524,0,6,4,3,0,4
39,6,233294,233056,4,4,26,204,1,5157,454,0,4,3,3,0,4
39,3,607569,606910,25,6,73,555,5,13782,1456,4,6,8,7,0,4
39,19,118230,118097,2,1,16,114,0,2733,306,1,1,1,1,0,4
40,15,389208,388785,10,4,54,355,4,8952,884,5,4,5,5,0,4
40,11,128455,128341,5,1,11,97,1,2912,228,0,1,1,1,0,4
40,18,268523,268263,16,2,34,208,3,6115,496,4,2,0,1,0,4
40,13,205908,205670,8,1,29,200,1,4650,493,0,1,4,1,0,4
40,3,607569,606906,26,3,71,563,5,14089,1473,4,3,6,8,0,4
40,10,159277,159089,7,2,31,148,1,3668,434,1,2,1,1,0,4
40,8,395560,395164,11,1,46,338,3,8970,819,5,1,4,4,0,4
40,16,156009,155879,2,0,9,119,2,3450,295,0,0,0,1,0,4
40,17,264300,264018,12,2,41,227,1,6005,533,3,2,6,3,0,4
40,1,450518,450120,9,1,34,354,9,10298,935,1,1,2,4,0,4
40,6,233294,233055,5,0,24,210,1,5298,459,1,0,4,6,0,4
40,19,118230,118094,5,0,14,117,0,2790,311,3,0,1,3,0,4
40,5,258863,258573,10,3,28,249,1,6016,618,2,3,0,7,0,4
40,0,157191,156997,10,1,25,158,2,3647,439,2,1,2,3,0,4
40,9,180080,179943,6,0,8,123,1,3874,262,1,0,0,1,0,4
40,7,245147,244892,7,2,34,212,1,5665,540,1,2,1,1,0,4
40,4,200455,200241,4,4,21,185,2,4626,470,0,4,0,1,0,4
40,14,52822,52786,1,0,3,32,1,1147,81,0,0,0,0,0,4
40,12,263922,263670,7,4,27,214,4,5890,532,3,4,3,0,0,4
40,2,264625,264335,7,1,40,242,1,6084,612,2,1,4,1,0,4
41,5,258863,258570,11,2,26,254,1,6144,623,3,2,3,5,0,4
41,9,180080,179941,7,1,7,124,1,3973,262,2,1,0,1,0,4
41,8,395560,395162,9,4,41,344,3,9178,831,2,4,1,6,0,4
41,19,118230,118094,3,2,13,118,0,2851,313,0,2,0,1,0,4
41,7,245147,244888,8,3,33,215,1,5805,552,4,3,2,3,0,4
41,13,205908,205669,6,3,27,203,1,4776,503,1,3,1,3,0,4
41,11,128455,128339,7,0,10,99,1,2966,231,2,0,1,2,0,4
41,16,156009,155878,3,0,9,119,2,3543,298,1,0,0,0,0,4
41,17,264300,264015,15,0,37,233,1,6149,537,3,0,2,6,0,4
41,2,264625,264333,9,0,38,245,1,6230,620,2,0,1,3,0,4
41,15,389208,388778,15,2,49,364,4,9163,899,7,2,4,9,0,4
41,12,263922,263667,9,1,29,216,4,6041,540,3,1,4,2,0,4
41,1,450518,450118,8,3,33,356,9,10514,943,2,3,1,2,0,4
41,6,233294,233054,4,2,22,212,1,5414,463,1,2,0,2,0,4
41,10,159277,159089,5,2,29,152,1,3757,443,0,2,2,4,0,4
41,4,200455,200240,4,1,22,188,2,4721,473,1,1,4,3,0,4
41,14,52822,52786,1,0,2,33,1,1174,81,0,0,0,1,0,4
41,3,607569,606901,28,3,64,573,5,14418,1491,5,3,3,10,0,4
41,18,268523,268261,13,5,33,211,3,6262,504,2,5,2,3,0,4
