distributed-seir-08
02:51:46.996 PM 06-Apr-2020
min-pxcor,-15
max-pxcor,15
min-pycor,-15
max-pycor,15
initial-infected,100
alert-policy,global
testing-rate-presymptomatic,0.025
testing-rate-general,5.0E-4
init-alert-level,0
use-seed?,false
seed,30
relative-infectiousness-presymptomatic,0.15
p-icu,0.0125
pop-sd-multiplier,0.45
population,5000000
p-hosp,0.05
uniform-by-pop?,true
infected-to-recovered,0.1
flow-rate,1
cfr-0,0.01
exposed-to-presymptomatic,0.25
time-horizon,7
alert-levels-R0,[2.5 2.1 1.6 1.1 0.6]
num-locales,100
cfr-1,0.02
alert-levels-flow,[1.0 0.5 0.25 0.1 0.05]
presymptomatic-to-infected,1
testing-rate-symptomatic,0.25
icu-cap,500
log-all-locales?,true
ticks,seed,who,pop-0,susceptible,exposed,presymptomatic,infected,recovered,dead,tests,tests-positive,new-exposed,new-presymptomatic,new-infected,new-recovered,new-dead,alert-level
1,30,23,39155,39152,1,0,1,1,0,39,1,1,0,0,1,0,0
1,30,57,52198,52198,0,0,0,0,0,39,0,0,0,0,0,0,0
1,30,6,15534,15533,0,0,1,0,0,20,0,0,0,0,0,0,0
1,30,26,25592,25592,0,0,0,0,0,22,0,0,0,0,0,0,0
1,30,39,55473,55471,1,0,1,0,0,46,0,0,0,0,0,0,0
1,30,80,63796,63796,0,0,0,0,0,59,0,0,0,0,0,0,0
1,30,95,65354,65351,1,0,2,0,0,67,1,1,0,0,0,0,0
1,30,35,93072,93069,1,0,2,0,0,70,0,0,0,0,0,0,0
1,30,87,53095,53094,0,0,1,0,0,46,0,0,0,0,0,0,0
1,30,70,43648,43648,0,0,0,0,0,44,0,0,0,0,0,0,0
1,30,22,41984,41983,0,0,1,0,0,40,0,0,0,0,0,0,0
1,30,31,77510,77508,1,0,1,0,0,74,0,0,0,0,0,0,0
1,30,84,11924,11922,1,0,1,0,0,5,0,1,0,0,0,0,0
1,30,20,55566,55566,0,0,0,0,0,46,0,0,0,0,0,0,0
1,30,68,58106,58104,1,0,1,0,0,61,0,0,0,0,0,0,0
1,30,93,41293,41292,0,0,1,0,0,36,0,0,0,0,0,0,0
1,30,14,88788,88787,1,0,0,0,0,88,0,0,0,0,0,0,0
1,30,33,44395,44391,2,0,2,0,0,51,1,1,0,0,0,0,0
1,30,24,42784,42782,1,0,1,0,0,42,1,1,0,0,0,0,0
1,30,12,21217,21217,0,0,0,0,0,23,0,0,0,0,0,0,0
1,30,50,27732,27732,0,0,0,0,0,28,0,0,0,0,0,0,0
1,30,65,44456,44455,0,0,1,0,0,48,0,0,0,0,0,0,0
1,30,36,56098,56096,0,0,1,1,0,49,1,0,0,0,1,0,0
1,30,47,37970,37970,0,0,0,0,0,37,0,0,0,0,0,0,0
1,30,38,59086,59084,0,0,2,0,0,57,0,0,0,0,0,0,0
1,30,30,42487,42487,0,0,0,0,0,45,0,0,0,0,0,0,0
1,30,90,111295,111292,1,0,2,0,0,108,0,0,0,0,0,0,0
1,30,78,60877,60873,0,1,2,1,0,56,0,0,1,0,1,0,0
1,30,15,44051,44043,4,0,4,0,0,52,2,4,0,0,0,0,0
1,30,10,59060,59057,2,0,0,1,0,60,1,0,0,0,0,0,0
1,30,25,31523,31522,0,0,1,0,0,40,0,0,0,0,0,0,0
1,30,29,39332,39330,1,0,1,0,0,43,1,0,0,0,0,0,0
1,30,42,38954,38952,0,0,2,0,0,45,0,0,0,0,0,0,0
1,30,5,37104,37103,1,0,0,0,0,40,0,0,0,0,0,0,0
1,30,81,77754,77750,1,0,2,1,0,76,1,0,0,0,0,0,0
1,30,7,58184,58183,0,0,1,0,0,58,0,0,0,0,0,0,0
1,30,44,60299,60299,0,0,0,0,0,63,0,0,0,0,0,0,0
1,30,40,43353,43352,0,0,0,1,0,49,1,0,0,0,0,0,0
1,30,3,65953,65952,0,0,1,0,0,57,0,0,0,1,0,0,0
1,30,32,27081,27081,0,0,0,0,0,29,0,0,0,0,0,0,0
1,30,88,68951,68949,0,0,1,1,0,54,0,0,0,0,1,0,0
1,30,99,18502,18502,0,0,0,0,0,25,0,0,0,0,0,0,0
1,30,45,42696,42695,0,0,0,1,0,37,1,0,0,0,1,0,0
1,30,76,45393,45391,0,0,2,0,0,46,0,0,0,0,0,0,0
1,30,97,74321,74320,0,0,1,0,0,79,1,0,0,0,0,0,0
1,30,48,48075,48070,2,0,3,0,0,54,0,1,0,0,0,0,0
1,30,64,18921,18916,1,2,2,0,0,22,1,1,2,0,0,0,0
1,30,67,21046,21046,0,0,0,0,0,20,0,0,0,0,0,0,0
1,30,17,70361,70361,0,0,0,0,0,61,0,0,0,0,0,0,0
1,30,55,83760,83760,0,0,0,0,0,88,0,0,0,0,0,0,0
2,30,97,74321,74320,0,0,1,0,0,116,1,0,0,0,0,0,0
2,30,21,9539,9538,0,0,0,1,0,16,0,0,0,0,1,0,0
2,30,94,46129,46126,2,0,1,0,0,68,0,0,0,0,0,0,0
2,30,10,59060,59057,2,0,0,1,0,95,1,0,0,0,0,0,0
2,30,67,21046,21046,0,0,0,0,0,28,0,0,0,0,0,0,0
2,30,98,72150,72149,0,0,1,0,0,123,0,0,0,0,0,0,0
2,30,78,60877,60873,0,0,3,1,0,82,0,0,0,1,0,0,0
2,30,99,18502,18502,0,0,0,0,0,40,0,0,0,0,0,0,0
2,30,51,90058,90054,1,1,1,1,0,153,2,0,1,0,0,0,0
2,30,17,70361,70361,0,0,0,0,0,102,0,0,0,0,0,0,0
2,30,6,15534,15533,0,0,1,0,0,25,0,0,0,0,0,0,0
2,30,77,54937,54936,1,0,0,0,0,80,0,0,0,0,0,0,0
2,30,75,35676,35674,0,0,0,2,0,46,2,0,0,0,1,0,0
2,30,9,40113,40113,0,0,0,0,0,51,0,0,0,0,0,0,0
2,30,12,21217,21217,0,0,0,0,0,36,0,0,0,0,0,0,0
2,30,66,29095,29095,0,0,0,0,0,43,0,0,0,0,0,0,0
2,30,48,48075,48070,2,0,3,0,0,80,2,0,0,0,0,0,0
2,30,86,56810,56809,1,0,0,0,0,95,0,0,0,0,0,0,0
2,30,90,111295,111292,0,1,2,0,0,159,1,0,1,0,0,0,0
2,30,42,38954,38952,0,0,2,0,0,80,0,0,0,0,0,0,0
2,30,5,37104,37103,1,0,0,0,0,52,0,0,0,0,0,0,0
2,30,46,30030,30029,0,0,1,0,0,46,0,0,0,0,0,0,0
2,30,53,34064,34064,0,0,0,0,0,52,0,0,0,0,0,0,0
2,30,0,106345,106345,0,0,0,0,0,142,0,0,0,0,0,0,0
2,30,8,22374,22374,0,0,0,0,0,28,0,0,0,0,0,0,0
2,30,55,83760,83760,0,0,0,0,0,120,0,0,0,0,0,0,0
2,30,1,24740,24739,0,0,1,0,0,37,0,0,0,0,0,0,0
2,30,60,15059,15059,0,0,0,0,0,26,0,0,0,0,0,0,0
2,30,95,65354,65351,1,0,2,0,0,104,1,0,0,0,0,0,0
2,30,43,50039,50038,1,0,0,0,0,81,0,0,0,0,0,0,0
