ID1 ID2 cost weight weight2
13 7 0.294170 3.399399 11.555911
13 2 0.395510 2.528380 6.392707
13 3 0.376538 2.655776 7.053146
13 5 0.300799 3.324480 11.052167
13 12 0.077483 12.906049 166.566106
13 15 0.043050 23.228547 539.565384
13 20 0.514490 1.943674 3.777867
13 19 0.358596 2.788654 7.776593
13 18 0.264258 3.784180 14.320016
13 16 0.121126 8.255886 68.159652
13 17 0.277208 3.607400 13.013335
15 9 0.191300 5.227401 27.325723
15 10 0.134911 7.412309 54.942330
15 14 0.053941 18.538685 343.682860
15 11 0.107355 9.314917 86.767676
15 8 0.286552 3.489765 12.178459
15 4 0.341280 2.930144 8.585745
15 1 0.478361 2.090471 4.370069
15 6 0.233810 4.276971 18.292478
15 7 0.278534 3.590222 12.889695
15 2 0.379875 2.632447 6.929776
15 3 0.360902 2.770832 7.677511
15 5 0.285164 3.506760 12.297363
15 12 0.065790 15.199795 231.033760
15 13 0.043050 23.228547 539.565384
15 20 0.556350 1.797431 3.230759
15 19 0.400456 2.497155 6.235783
15 18 0.306118 3.266715 10.671429
15 16 0.162986 6.135514 37.644530
15 17 0.319068 3.134130 9.822773
20 9 0.702723 1.423036 2.025031
20 10 0.683935 1.462128 2.137818
20 14 0.509581 1.962397 3.851002
20 11 0.618778 1.616088 2.611742
20 8 0.835576 1.196779 1.432280
20 4 0.862919 1.158857 1.342950
20 1 1.000000 1.000000 1.000000
20 6 0.755449 1.323716 1.752223
20 7 0.800173 1.249729 1.561824
20 2 0.901514 1.109246 1.230426
20 3 0.882541 1.133091 1.283896
20 5 0.806802 1.239461 1.536263
20 12 0.583487 1.713835 2.937232
20 13 0.514490 1.943674 3.777867
20 15 0.556350 1.797431 3.230759
20 19 0.160045 6.248259 39.040736
20 18 0.251240 3.980256 15.842441
20 16 0.478771 2.088682 4.362590
20 17 0.353693 2.827311 7.993686
19 9 0.546829 1.828725 3.344233
19 10 0.528041 1.893793 3.586451
19 14 0.353687 2.827358 7.993953
19 11 0.462884 2.160367 4.667187
19 8 0.679682 1.471275 2.164651
19 4 0.707025 1.414377 2.000461
19 1 0.844106 1.184685 1.403479
19 6 0.599555 1.667902 2.781898
19 7 0.644279 1.552122 2.409081
19 2 0.745620 1.341166 1.798726
19 3 0.726648 1.376183 1.893880
19 5 0.650909 1.536314 2.360260
19 12 0.427593 2.338674 5.469394
19 13 0.358596 2.788654 7.776593
19 15 0.400456 2.497155 6.235783
19 20 0.160045 6.248259 39.040736
19 18 0.095346 10.488083 109.999876
19 16 0.322877 3.097153 9.592358
19 17 0.197799 5.055632 25.559411
18 9 0.452491 2.209987 4.884042
18 10 0.433703 2.305725 5.316368
18 14 0.259349 3.855804 14.867228
18 11 0.368546 2.713362 7.362335
18 8 0.585345 1.708395 2.918615
18 4 0.612687 1.632154 2.663925
18 1 0.749768 1.333745 1.778876
18 6 0.505218 1.979345 3.917806
18 7 0.549942 1.818375 3.306487
18 2 0.651282 1.535433 2.357555
18 3 0.632310 1.581503 2.501153
18 5 0.556571 1.796716 3.228190
18 12 0.333255 3.000705 9.004233
18 13 0.264258 3.784180 14.320016
18 15 0.306118 3.266715 10.671429
18 20 0.251240 3.980256 15.842441
18 19 0.095346 10.488083 109.999876
18 16 0.228539 4.375615 19.146003
18 17 0.149045 6.709402 45.016071
16 9 0.309359 3.232490 10.448993
16 10 0.290571 3.441503 11.843945
16 14 0.116217 8.604601 74.039161
16 11 0.225414 4.436280 19.680584
16 8 0.442212 2.261358 5.113739
16 4 0.469555 2.129676 4.535518
16 1 0.606636 1.648435 2.717338
16 6 0.362085 2.761780 7.627430
16 7 0.406809 2.458155 6.042524
16 2 0.508150 1.967924 3.872725
16 3 0.489177 2.044248 4.178951
16 5 0.413438 2.418739 5.850301
16 12 0.190123 5.259764 27.665114
16 13 0.121126 8.255886 68.159652
16 15 0.162986 6.135514 37.644530
16 20 0.478771 2.088682 4.362590
16 19 0.322877 3.097153 9.592358
16 18 0.228539 4.375615 19.146003
16 17 0.224747 4.449450 19.797603
17 9 0.465441 2.148499 4.616047
17 10 0.446653 2.238875 5.012560
17 14 0.272299 3.672432 13.486755
17 11 0.381496 2.621257 6.870990
17 8 0.598294 1.671418 2.793637
17 4 0.625637 1.598370 2.554787
17 1 0.762718 1.311100 1.718983
17 6 0.518168 1.929878 3.724428
17 7 0.562891 1.776541 3.156099
17 2 0.664232 1.505498 2.266525
17 3 0.645260 1.549764 2.401768
17 5 0.569521 1.755862 3.083052
17 12 0.346205 2.888463 8.343220
17 13 0.277208 3.607400 13.013335
17 15 0.319068 3.134130 9.822773
17 20 0.353693 2.827311 7.993686
17 19 0.197799 5.055632 25.559411
17 18 0.149045 6.709402 45.016071
17 16 0.224747 4.449450 19.797603
